catalogNumber,tegula_cm,scale_cm,data_collector,Filename,notes,itd_corrected
UCSB-IZC00035100,0.165,0.501,alec,UCSB-IZC00035100.jpg,NA,0.16467065868263475
UCSB-IZC00035351,0.179,0.5,alec,UCSB-IZC00035351.jpg,NA,0.179
UCSB-IZC00035355,0.211,0.497,alec,UCSB-IZC00035355.jpg,NA,0.21227364185110664
UCSB-IZC00035615,0.172,0.497,alec,UCSB-IZC00035615.jpg,NA,0.17303822937625754
UCSB-IZC00035851,0.203,0.498,alec,UCSB-IZC00035851.jpg,NA,0.20381526104417672
UCSB-IZC00035872,0.206,0.5,alec,UCSB-IZC00035872.jpg,NA,0.206
UCSB-IZC00035943,0.209,0.503,alec,UCSB-IZC00035943.jpg,NA,0.2077534791252485
UCSB-IZC00035949,0.199,0.503,alec,UCSB-IZC00035949.jpg,NA,0.1978131212723658
UCSB-IZC00035955,0.208,0.498,alec,UCSB-IZC00035955.jpg,NA,0.20883534136546184
UCSB-IZC00035984,0.183,0.499,alec,UCSB-IZC00035984.jpg,NA,0.18336673346693386
UCSB-IZC00036003,0.182,0.5,alec,UCSB-IZC00036003.jpg,NA,0.182
UCSB-IZC00036007,0.203,0.5,alec,UCSB-IZC00036007.jpg,NA,0.203
UCSB-IZC00036009,0.186,0.498,alec,UCSB-IZC00036009.jpg,NA,0.18674698795180722
UCSB-IZC00036013,0.226,0.501,alec,UCSB-IZC00036013.jpg,NA,0.22554890219560877
UCSB-IZC00036017,0.193,0.498,alec,UCSB-IZC00036017.jpg,NA,0.19377510040160642
UCSB-IZC00036022,0.192,0.503,alec,UCSB-IZC00036022.jpg,NA,0.1908548707753479
UCSB-IZC00036025,0.227,0.502,alec,UCSB-IZC00036025.jpg,NA,0.22609561752988047
UCSB-IZC00036033,0.212,0.498,alec,UCSB-IZC00036033.jpg,NA,0.21285140562248994
UCSB-IZC00036044,0.187,0.5,alec,UCSB-IZC00036044.jpg,NA,0.187
UCSB-IZC00036055,0.205,0.503,alec,UCSB-IZC00036055.jpg,NA,0.20377733598409542
UCSB-IZC00036129,0.202,0.499,alec,UCSB-IZC00036129.jpg,NA,0.20240480961923848
UCSB-IZC00036134,0.192,0.5,alec,UCSB-IZC00036134.jpg,NA,0.192
UCSB-IZC00036140,0.205,0.5,alec,UCSB-IZC00036140.jpg,NA,0.205
UCSB-IZC00036147,0.201,0.503,alec,UCSB-IZC00036147.jpg,NA,0.19980119284294234
UCSB-IZC00036148,0.221,0.499,alec,UCSB-IZC00036148.jpg,NA,0.22144288577154309
UCSB-IZC00036153,0.18,0.501,alec,UCSB-IZC00036153.jpg,NA,0.17964071856287425
UCSB-IZC00036159,0.215,0.501,alec,UCSB-IZC00036159.jpg,NA,0.21457085828343314
UCSB-IZC00036169,0.21,0.502,alec,UCSB-IZC00036169.jpg,NA,0.2091633466135458
UCSB-IZC00036172,0.204,0.5,alec,UCSB-IZC00036172.jpg,NA,0.204
UCSB-IZC00036177,0.211,0.502,alec,UCSB-IZC00036177.jpg,NA,0.21015936254980078
UCSB-IZC00036226,0.193,0.499,alec,UCSB-IZC00036226.jpg,NA,0.1933867735470942
UCSB-IZC00036256,0.2,0.499,alec,UCSB-IZC00036256.jpg,NA,0.20040080160320642
UCSB-IZC00036274,0.188,0.5,alec,UCSB-IZC00036274.jpg,NA,0.188
UCSB-IZC00036280,0.176,0.499,alec,UCSB-IZC00036280.jpg,NA,0.17635270541082163
UCSB-IZC00036291,0.203,0.498,alec,UCSB-IZC00036291.jpg,NA,0.20381526104417672
UCSB-IZC00036301,0.187,0.5,alec,UCSB-IZC00036301.jpg,NA,0.187
UCSB-IZC00036303,0.203,0.496,alec,UCSB-IZC00036303.jpg,NA,0.20463709677419356
UCSB-IZC00036306,0.201,0.499,alec,UCSB-IZC00036306.jpg,NA,0.20140280561122245
UCSB-IZC00036307,0.215,0.497,alec,UCSB-IZC00036307.jpg,NA,0.21629778672032193
UCSB-IZC00036314,0.157,0.499,alec,UCSB-IZC00036314.jpg,NA,0.15731462925851702
UCSB-IZC00036315,0.215,0.5,alec,UCSB-IZC00036315.jpg,NA,0.215
UCSB-IZC00036320,0.224,0.499,alec,UCSB-IZC00036320.jpg,NA,0.22444889779559118
UCSB-IZC00036324,0.214,0.5,alec,UCSB-IZC00036324.jpg,NA,0.214
UCSB-IZC00036326,0.187,0.498,alec,UCSB-IZC00036326.jpg,NA,0.18775100401606426
UCSB-IZC00036329,0.176,0.498,alec,UCSB-IZC00036329.jpg,NA,0.17670682730923692
UCSB-IZC00036341,0.201,0.497,alec,UCSB-IZC00036341.jpg,NA,0.20221327967806843
UCSB-IZC00036342,0.191,0.499,alec,UCSB-IZC00036342.jpg,NA,0.19138276553106212
UCSB-IZC00036353,0.193,0.498,alec,UCSB-IZC00036353.jpg,NA,0.19377510040160642
UCSB-IZC00036424,0.207,0.503,alec,UCSB-IZC00036424.jpg,NA,0.20576540755467196
UCSB-IZC00036433,0.206,0.496,alec,UCSB-IZC00036433.jpg,NA,0.20766129032258063
UCSB-IZC00036437,0.225,0.497,alec,UCSB-IZC00036437.jpg,NA,0.22635814889336017
UCSB-IZC00036438,0.202,0.5,alec,UCSB-IZC00036438.jpg,NA,0.202
UCSB-IZC00036447,0.215,0.5,alec,UCSB-IZC00036447.jpg,NA,0.215
UCSB-IZC00036453,0.22,0.5,alec,UCSB-IZC00036453.jpg,NA,0.22
UCSB-IZC00036455,0.167,0.501,alec,UCSB-IZC00036455.jpg,NA,0.16666666666666669
UCSB-IZC00036456,0.208,0.5,alec,UCSB-IZC00036456.jpg,NA,0.208
UCSB-IZC00036466,0.184,0.499,alec,UCSB-IZC00036466.jpg,NA,0.1843687374749499
UCSB-IZC00036474,0.203,0.504,alec,UCSB-IZC00036474.jpg,NA,0.2013888888888889
UCSB-IZC00036541,0.19,0.498,alec,UCSB-IZC00036541.jpg,NA,0.19076305220883535
UCSB-IZC00036544,0.23,0.5,alec,UCSB-IZC00036544.jpg,NA,0.23
UCSB-IZC00036550,0.207,0.499,alec,UCSB-IZC00036550.jpg,NA,0.20741482965931862
UCSB-IZC00036558,0.214,0.5,alec,UCSB-IZC00036558.jpg,NA,0.214
UCSB-IZC00036564,0.191,0.5,alec,UCSB-IZC00036564.jpg,NA,0.191
UCSB-IZC00036571,0.194,0.501,alec,UCSB-IZC00036571.jpg,NA,0.1936127744510978
UCSB-IZC00036576,0.207,0.502,alec,UCSB-IZC00036576.jpg,NA,0.20617529880478086
UCSB-IZC00036581,0.191,0.498,alec,UCSB-IZC00036581.jpg,NA,0.19176706827309237
UCSB-IZC00036582,0.172,0.5,alec,UCSB-IZC00036582.jpg,NA,0.172
UCSB-IZC00036586,0.156,0.501,alec,UCSB-IZC00036586.jpg,NA,0.15568862275449102
UCSB-IZC00036587,0.154,0.502,alec,UCSB-IZC00036587.jpg,NA,0.15338645418326693
UCSB-IZC00036589,0.183,0.5,alec,UCSB-IZC00036589.jpg,NA,0.183
UCSB-IZC00036592,0.186,0.502,alec,UCSB-IZC00036592.jpg,NA,0.1852589641434263
UCSB-IZC00036601,0.233,0.502,alec,UCSB-IZC00036601.jpg,NA,0.23207171314741037
UCSB-IZC00036602,0.185,0.502,alec,UCSB-IZC00036602.jpg,NA,0.18426294820717132
UCSB-IZC00036603,0.21,0.502,alec,UCSB-IZC00036603.jpg,NA,0.2091633466135458
UCSB-IZC00036610,0.172,0.5,alec,UCSB-IZC00036610.jpg,NA,0.172
UCSB-IZC00036620,0.199,0.499,alec,UCSB-IZC00036620.jpg,NA,0.19939879759519039
UCSB-IZC00036621,0.182,0.497,alec,UCSB-IZC00036621.jpg,NA,0.18309859154929578
UCSB-IZC00036623,0.18,0.498,alec,UCSB-IZC00036623.jpg,NA,0.18072289156626506
UCSB-IZC00036628,0.2,0.501,alec,UCSB-IZC00036628.jpg,NA,0.1996007984031936
UCSB-IZC00036633,0.201,0.502,alec,UCSB-IZC00036633.jpg,NA,0.200199203
UCSB-IZC00036634,0.225,0.498,alec,UCSB-IZC00036634.jpg,NA,0.22590361445783133
UCSB-IZC00036635,0.2,0.5,alec,UCSB-IZC00036635.jpg,NA,0.2
UCSB-IZC00036637,0.201,0.5,alec,UCSB-IZC00036637.jpg,NA,0.201
UCSB-IZC00036639,0.218,0.499,alec,UCSB-IZC00036639.jpg,NA,0.218436874
UCSB-IZC00036646,0.205,0.5,alec,UCSB-IZC00036646.jpg,NA,0.205
UCSB-IZC00036647,0.193,0.5,alec,UCSB-IZC00036647.jpg,NA,0.193
UCSB-IZC00036700,0.179,0.501,alec,UCSB-IZC00036700.jpg,NA,0.17864271457085829
UCSB-IZC00036724,0.201,0.5,alec,UCSB-IZC00036724.jpg,NA,0.201
UCSB-IZC00036733,0.191,0.501,alec,UCSB-IZC00036733.jpg,NA,0.1906187624750499
UCSB-IZC00036737,0.21,0.499,alec,UCSB-IZC00036737.jpg,NA,0.21042084168336672
UCSB-IZC00036748,0.204,0.498,alec,UCSB-IZC00036748.jpg,NA,0.20481927710843373
UCSB-IZC00036756,0.173,0.5,alec,UCSB-IZC00036756.jpg,NA,0.173
UCSB-IZC00036757,0.209,0.499,alec,UCSB-IZC00036757.jpg,NA,0.2094188376753507
UCSB-IZC00036762,0.188,0.503,alec,UCSB-IZC00036762.jpg,NA,0.18687872763419483
UCSB-IZC00036765,0.181,0.498,alec,UCSB-IZC00036765.jpg,NA,0.18172690763052207
UCSB-IZC00036766,0.204,0.5,alec,UCSB-IZC00036766.jpg,NA,0.204
UCSB-IZC00036771,0.218,0.499,alec,UCSB-IZC00036771.jpg,NA,0.218436874
UCSB-IZC00036772,0.211,0.498,alec,UCSB-IZC00036772.jpg,NA,0.21184738955823293
UCSB-IZC00036840,0.204,0.501,alec,UCSB-IZC00036840.jpg,NA,0.20359281437125748
UCSB-IZC00036889,0.209,0.501,alec,UCSB-IZC00036889.jpg,NA,0.2085828343313373
UCSB-IZC00036892,0.105,0.501,alec,UCSB-IZC00036892.jpg,NA,0.10479041916167664
UCSB-IZC00036921,0.205,0.499,alec,UCSB-IZC00036921.jpg,NA,0.20541082164328656
UCSB-IZC00036933,0.208,0.501,alec,UCSB-IZC00036933.jpg,NA,0.20758483033932135
UCSB-IZC00036943,0.202,0.499,alec,UCSB-IZC00036943.jpg,NA,0.20240480961923848
UCSB-IZC00036946,0.221,0.501,alec,UCSB-IZC00036946.jpg,NA,0.22055888223552894
UCSB-IZC00036950,0.204,0.501,alec,UCSB-IZC00036950.jpg,NA,0.20359281437125748
UCSB-IZC00036981,0.193,0.502,alec,UCSB-IZC00036981.jpg,NA,0.19223107569721115
UCSB-IZC00037085,0.213,0.498,alec,UCSB-IZC00037085.jpg,NA,0.21385542168674698
UCSB-IZC00037089,0.183,0.498,alec,UCSB-IZC00037089.jpg,NA,0.18373493975903615
UCSB-IZC00037095,0.198,0.498,alec,UCSB-IZC00037095.jpg,NA,0.19879518072289157
UCSB-IZC00037107,0.218,0.499,alec,UCSB-IZC00037107.jpg,NA,0.218436874
UCSB-IZC00037115,0.176,0.502,alec,UCSB-IZC00037115.jpg,NA,0.17529880478087648
UCSB-IZC00037128,0.2,0.502,alec,UCSB-IZC00037128.jpg,NA,0.19920318725099603
UCSB-IZC00037139,0.196,0.502,alec,UCSB-IZC00037139.jpg,NA,0.1952191235059761
UCSB-IZC00037202,0.195,0.499,alec,UCSB-IZC00037202.jpg,NA,0.19539078156312625
UCSB-IZC00037203,0.178,0.498,alec,UCSB-IZC00037203.jpg,NA,0.178714859
UCSB-IZC00037211,0.218,0.502,alec,UCSB-IZC00037211.jpg,NA,0.21713147410358566
UCSB-IZC00037213,0.223,0.5,alec,UCSB-IZC00037213.jpg,NA,0.223
UCSB-IZC00037223,0.207,0.5,alec,UCSB-IZC00037223.jpg,NA,0.207
UCSB-IZC00037232,0.186,0.502,alec,UCSB-IZC00037232.jpg,NA,0.1852589641434263
UCSB-IZC00037241,0.21,0.501,alec,UCSB-IZC00037241.jpg,NA,0.20958083832335328
UCSB-IZC00037242,0.214,0.501,alec,UCSB-IZC00037242.jpg,NA,0.21357285429141717
UCSB-IZC00037244,0.211,0.499,alec,UCSB-IZC00037244.jpg,NA,0.21142284569138275
UCSB-IZC00037247,0.203,0.497,alec,UCSB-IZC00037247.jpg,NA,0.20422535211267606
UCSB-IZC00037252,0.218,0.5,alec,UCSB-IZC00037252.jpg,NA,0.218
UCSB-IZC00037256,0.227,0.502,alec,UCSB-IZC00037256.jpg,NA,0.22609561752988047
UCSB-IZC00037341,0.21,0.499,alec,UCSB-IZC00037341.jpg,NA,0.21042084168336672
UCSB-IZC00037446,0.222,0.5,alec,UCSB-IZC00037446.jpg,NA,0.222
UCSB-IZC00037470,0.208,0.5,alec,UCSB-IZC00037470.jpg,NA,0.208
UCSB-IZC00037695,0.209,0.503,alec,UCSB-IZC00037695.jpg,NA,0.2077534791252485
UCSB-IZC00037698,0.202,0.504,alec,UCSB-IZC00037698.jpg,NA,0.2003968253968254
UCSB-IZC00037707,0.201,0.5,alec,UCSB-IZC00037707.jpg,NA,0.201
UCSB-IZC00037720,0.208,0.501,alec,UCSB-IZC00037720.jpg,NA,0.20758483033932135
UCSB-IZC00038568,0.211,0.497,alec,UCSB-IZC00038568.jpg,NA,0.21227364185110664
UCSB-IZC00038573,0.215,0.5,alec,UCSB-IZC00038573.jpg,NA,0.215
UCSB-IZC00038612,0.199,0.5,alec,UCSB-IZC00038612.jpg,NA,0.199
UCSB-IZC00038656,0.213,0.501,alec,UCSB-IZC00038656.jpg,NA,0.21257485029940118
UCSB-IZC00038705,0.198,0.501,alec,UCSB-IZC00038705.jpg,NA,0.19760479041916168
